epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8437.45,1.30829,1.12444,1.37517,0.75884,0.69551,0.76351,0.43598,0.93789,2.28212,0.9198,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,8697.48,1.29631,1.11678,1.37733,0.7625,0.68957,0.76907,0.44181,0.93301,2.32575,0.91672,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,8959.7,1.2827,1.09281,1.36628,0.76013,0.70604,0.77045,0.44025,0.92788,2.35374,0.91202,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,9220.74,1.29226,1.09108,1.36163,0.7585,0.70907,0.76921,0.4428,0.92688,1.9422,0.91414,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,9481.6,1.26137,1.0677,1.34912,0.76427,0.70914,0.77197,0.44304,0.92228,1.92251,0.90875,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,9742.82,1.26719,1.06106,1.35191,0.75515,0.71731,0.77498,0.44619,0.91341,2.09213,0.90772,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,10005.1,1.25126,1.05071,1.33495,0.76732,0.70722,0.77744,0.44609,0.92546,1.89962,0.91781,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,10265.4,1.24683,1.02211,1.3338,0.75539,0.72109,0.77837,0.4462,0.92888,1.94101,0.91244,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,10525.7,1.2358,1.01012,1.32813,0.77902,0.70291,0.78016,0.44955,0.92258,2.01061,0.9108,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,10786.1,1.26413,0.91759,1.35228,0.77921,0.70632,0.77949,0.44963,0.92518,1.81782,0.91353,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,11045.8,1.2461,0.88885,1.34411,0.77155,0.71862,0.78143,0.45188,0.92793,1.70666,0.91372,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,11305.6,1.22585,0.85283,1.32681,0.77436,0.71857,0.78452,0.45291,0.92554,1.61053,0.91111,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,11565.2,1.21528,0.84324,1.31837,0.78103,0.71795,0.78417,0.45378,0.93021,1.60144,0.91276,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,11824.9,1.19969,0.82238,1.30918,0.77185,0.71781,0.78021,0.45288,0.92847,1.57281,0.91176,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,12083.9,1.18521,0.79843,1.29326,0.77194,0.71966,0.78216,0.454,0.92596,1.53632,0.91066,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,12342.7,1.1731,0.78319,1.28554,0.78488,0.70906,0.78184,0.4534,0.92623,1.50261,0.91486,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,12602.2,1.15986,0.77292,1.27838,0.76257,0.72916,0.78112,0.45388,0.9233,1.52569,0.91295,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,12861.8,1.14613,0.75505,1.27134,0.76388,0.73408,0.78236,0.45387,0.92203,1.53858,0.91204,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,13121.2,1.1397,0.74877,1.26186,0.77164,0.726,0.78056,0.45365,0.92076,1.53369,0.91284,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
